title,imdb_id,year,rating,vote_count,duration_min,genres,plot,url
Sita Ramam,tt20850406,2022,8.5,83000,,,"A soldier receives a life-changing letter from a woman named Sita, leading to a beautiful romance. Their love story takes an unexpected turn when he returns to his military post in Kashmir and faces imprisonment.",https://www.imdb.com/title/tt20850406/?ref_=sr_t_66
96,tt7019842,2018,8.5,45000,,,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,https://www.imdb.com/title/tt7019842/?ref_=sr_t_67
Jersey,tt8948790,2019,8.5,28000,,,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,https://www.imdb.com/title/tt8948790/?ref_=sr_t_68
Sarpatta Parambarai,tt11580854,2021,8.5,29000,,,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?",https://www.imdb.com/title/tt11580854/?ref_=sr_t_69
Project Hail Mary,tt12042730,2026,8.4,164000,,,"A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth's sun and that an unexpected friendship may be the key.",https://www.imdb.com/title/tt12042730/?ref_=sr_t_70
I Swear,tt31514146,2025,8.4,34000,,,"John Davidson: diagnosed with Tourette's syndrome at a young age which alienated him from his peers, he struggled with a condition few people had witnessed.",https://www.imdb.com/title/tt31514146/?ref_=sr_t_71
Dune: Part Two,tt15239678,2024,8.4,732000,,,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",https://www.imdb.com/title/tt15239678/?ref_=sr_t_72
Inglourious Basterds,tt0361748,2009,8.4,1800000,,,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",https://www.imdb.com/title/tt0361748/?ref_=sr_t_73
Demon Slayer: Kimetsu No Yaiba Infinity Castle,tt32820897,2025,8.4,68000,,,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",https://www.imdb.com/title/tt32820897/?ref_=sr_t_74
Avengers: Endgame,tt4154796,2019,8.4,1400000,,,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",https://www.imdb.com/title/tt4154796/?ref_=sr_t_75
Memento,tt0209144,2000,8.4,1400000,,,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,https://www.imdb.com/title/tt0209144/?ref_=sr_t_76
Good Will Hunting,tt0119217,1997,8.4,1200000,,,"A therapist counsels Will Hunting, a janitor with a genius IQ.",https://www.imdb.com/title/tt0119217/?ref_=sr_t_77
Raiders of the Lost Ark,tt0082971,1981,8.4,1100000,,,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",https://www.imdb.com/title/tt0082971/?ref_=sr_t_78
The Dark Knight Rises,tt1345836,2012,8.4,2000000,,,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",https://www.imdb.com/title/tt1345836/?ref_=sr_t_79
Aliens,tt0090605,1986,8.4,839000,,,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",https://www.imdb.com/title/tt0090605/?ref_=sr_t_80
Spider-Man: Into the Spider-Verse,tt4633694,2018,8.4,784000,,,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://www.imdb.com/title/tt4633694/?ref_=sr_t_81
Avengers: Infinity War,tt4154756,2018,8.4,1400000,,,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://www.imdb.com/title/tt4154756/?ref_=sr_t_82
The Shining,tt0081505,1980,8.4,1200000,,,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",https://www.imdb.com/title/tt0081505/?ref_=sr_t_83
Apocalypse Now,tt0078788,1979,8.4,768000,,,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://www.imdb.com/title/tt0078788/?ref_=sr_t_84
Your Name.,tt5311514,2016,8.4,390000,,,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",https://www.imdb.com/title/tt5311514/?ref_=sr_t_85
Amadeus,tt0086879,1984,8.4,467000,,,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",https://www.imdb.com/title/tt0086879/?ref_=sr_t_86
The Lives of Others,tt0405094,2006,8.4,442000,,,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",https://www.imdb.com/title/tt0405094/?ref_=sr_t_87
